ad_id,ad_text,mean_sentiment,receptiveness_index,predicted_sentiment
1,Experience unparalleled comfort with our new memory foam mattress!,0.2840768062386385,0.01481516531930888,1
2,Boost your productivity with our innovative task management app!,-0.0007103114517238,1.1186558739515374e-06,1
3,Discover your next adventure with our premium travel packages!,0.5008281184334267,9.036705820534863e-10,1
4,Transform your skin with our all-natural anti-aging serum!,0.1974389237518118,1.8703936660780535e-06,1
5,Learn a new language faster with our interactive online courses!,0.0032854289695915,0.000658902890591561,1
6,Upgrade your home with smart lighting solutions!,0.3256620997736384,0.030418722673817924,1
7,Get fit and healthy with our personalized online coaching!,-0.2532824240393201,0.00011581319362352627,1
8,Protect your family with comprehensive home insurance!,-0.0302256751028883,0.0020107315173056497,-1
9,Unleash your creativity with our professional graphic design software!,-0.0550913239184121,3.994271789055518e-05,1
10,Plan your financial future with expert wealth management services!,-0.1666640584146759,1.0324011514413962e-06,1
11,Enjoy crystal-clear audio with our new wireless earbuds!,-0.0378212830076513,0.009812854425900491,1
12,Introducing our new eco-bottle made from 100% recycled plastic!,0.4998370461838267,0.000366650794607768,1
13,Get 50% off on all electronics this weekend only!,-0.1192976995496591,7.661981754825256e-05,-1
14,Try our new protein bar with 20g of protein and zero sugar!,0.4551459098273079,0.10354746941522071,1
15,Stream unlimited movies and shows for just $4.99/month!,0.1574986696379973,1.1928780637365513e-07,-1
16,Introducing our new smartwatch with 10-day battery life!,0.0035598181685118,0.009779948320258572,1
17,Book your dream vacation now — flights up to 30% off!,0.194595625129258,2.412770734976631e-08,1
18,Upgrade your home office with our ergonomic chairs!,-0.0032988860513418,1.0323280876706677e-06,1
19,Introducing our new smartphone with AI-powered camera!,-0.3359101074308446,0.0002695297523242837,1
20,Introducing our vegan ice cream — 100% dairy free!,0.2213614920858051,3.1614981300145833e-06,1
21,Introducing our electric scooter with 30-mile range!,-0.1668886379523541,1.6529244846666212e-06,1
22,Introducing our new eco-bottle! Made from 100% recycled materials.,0.0277841674193197,4.1611083931020925e-05,1
23,Biggest sale ever — 70% off everything! Buy now before it's gone!,-0.232659626776066,3.5504811933143953e-06,1
24,Try our premium coffee subscription. Delivered fresh to your door monthly.,0.2683927950718404,0.0008547316923338166,1
25,New smartphone with 5-day battery life. Pre-order available now!,-0.2514060926229253,0.015053278345085713,1
